Код;ОКВЭД;Корректировка валовой добавленной стоимости на экономические операции, не наблюдаемые прямыми статистическими методами (в процентах к валовой добавленной стоимости соответствующего вида экономической деятельности);корректировка валовой добавленной стоимости на теневые операции юридических лиц (в процентах к валовой добавленной стоимости соответствующего вида экономической деятельности);корректировка валовой добавленной стоимости на операции неформального сектора экономики и на производство домашних хозяйств для собственного конечного использования (в процентах к валовой добавленной стоимости соответствующего вида экономической деятельности);Корректировка валовой добавленной стоимости на экономические операции, не наблюдаемые прямыми статистическими методами, в процентах к ВВП;year;source
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;16,4;7,4;8,9;;2007;NA_2011
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;16,4;7,4;8,9;;2007;NA_2010
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;17;7,5;9,5;;2007;NA_2009
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;14,1;6;8;;2008;NA_2015
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;14,1;6;8;;2008;NA_2014
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;14,1;6;8;;2008;NA_2013
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;14,1;6;8;;2008;NA_2012
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;14,1;6;14,1;;2008;NA_2011
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;14,4;5,9;8,5;;2008;NA_2010
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;16;6,6;9,4;;2009;NA_2015
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;16;6,6;9,4;;2009;NA_2014
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;16;6,6;9,4;;2009;NA_2013
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;16;6,6;9,4;;2009;NA_2012
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;16,1;6,6;9,5;;2009;NA_2011
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;11,1;5,6;5,5;;2010;NA_2015
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;11,1;5,6;5,5;;2010;NA_2014
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;11,1;5,6;5,5;;2010;NA_2013
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;15,5;6,5;9;;2010;NA_2012
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;14,6;4,9;9,8;;2011;NA_2017
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;11,3;6,6;4,7;;2011;NA_2015
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;11,3;6,6;4,7;;2011;NA_2014
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;12,1;6,7;5,4;;2011;NA_2013
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;14,8;5,1;9,7;;2012;NA_2017
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;10,6;6,1;4,5;;2012;NA_2015
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;10,6;6,2;4,4;;2012;NA_2014
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;14,3;4,7;9,6;;2013;NA_2017
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;10,3;5,8;4,5;;2013;NA_2015
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;13,9;4,6;9,3;;2014;NA_2017
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;14,5;5,1;9,4;;2015;NA_2017
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;12,6;4,3;8,3;12,6;2017;NA_2023
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;12,6;4,3;8,3;12,6;2017;NA_2021
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;12,7;4,4;8,2;12,7;2017;NA_2019
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;11,7;4;7,6;11,7;2018;NA_2023
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;11,7;4;7,6;11,7;2018;NA_2021
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;11,5;3,8;7,6;11,5;2019;NA_2023
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;11,6;3,9;7,6;11,6;2019;NA_2021
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;11,7;3,6;8,1;11,7;2020;NA_2023
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;10,8;2,8;8;10,8;2021;NA_2023
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;12,6;4,31;8,25;;2017;GVA_02_2024
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;11,7;3,98;7,61;;2018;GVA_02_2024
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;11,5;3,84;7,57;;2019;GVA_02_2024
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;11,7;3,61;8,09;;2020;GVA_02_2024
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;10,4;2,44;7,88;;2021;GVA_02_2024
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;11,5;2,71;8,68;;2022;GVA_02_2024
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;12,6;4,31;8,25;;2017;GVA_04_2024
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;11,7;3,98;7,61;;2018;GVA_04_2024
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;11,5;3,84;7,57;;2019;GVA_04_2024
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;11,7;3,61;8,09;;2020;GVA_04_2024
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;10,4;2,44;7,98;;2021;GVA_04_2024
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;11,4;2,69;8,73;;2022;GVA_04_2024
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;12,6;4,31;8,25;;2017;GVA_12_2023
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;11,7;3,98;7,61;;2018;GVA_12_2023
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;11,5;3,84;7,57;;2019;GVA_12_2023
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;11,7;3,61;8,09;;2020;GVA_12_2023
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;10,4;2,44;7,88;;2021;GVA_12_2023
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;11,5;2,71;8,68;;2022;GVA_12_2023
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;12,6;4,31;8,25;;2017;GVA_04_2023
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;11,7;3,98;7,61;;2018;GVA_04_2023
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;11,5;3,84;7,57;;2019;GVA_04_2023
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;11,7;3,61;8,09;;2020;GVA_04_2023
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;10,8;2,82;8,01;;2021;GVA_04_2023
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;12,6;4,31;8,25;;2017;GVA_02_2023
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;11,7;3,98;7,61;;2018;GVA_02_2023
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;11,5;3,84;7,57;;2019;GVA_02_2023
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;11,7;3,61;8,09;;2020;GVA_02_2023
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;10,8;2,82;8,01;;2021;GVA_02_2023
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;12,6;4,31;8,25;;2017;GVA_12_2022
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;11,7;3,98;7,61;;2018;GVA_12_2022
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;11,5;3,84;7,57;;2019;GVA_12_2022
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;11,7;3,61;8,09;;2020;GVA_12_2022
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;10,8;2,82;8,01;;2021;GVA_12_2022
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;12,6;4,31;8,25;;2017;GVA_04_2022
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;11,7;3,98;7,61;;2018;GVA_04_2022
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;11,5;3,84;7,57;;2019;GVA_04_2022
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;12;3,9;8,03;;2020;GVA_04_2022
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;12,6;4,31;8,25;;2017;GVA_02_2022
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;11,7;3,98;7,61;;2018;GVA_02_2022
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;11,5;3,84;7,57;;2019;GVA_02_2022
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;12;3,9;8,03;;2020;GVA_02_2022
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;12,6;4,31;8,25;;2017;GVA_12_2021
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;11,7;3,98;7,61;;2018;GVA_12_2021
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;11,5;3,84;7,57;;2019;GVA_12_2021
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;12;3,9;8,03;;2020;GVA_12_2021
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;12,6;4,31;8,25;;2017;GVA_04_2020
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;11,6;3,99;7,65;;2018;GVA_04_2020
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;24,62720329;12,94459011;11,68261317;;2002;GVA_05_2021
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;23,68362009;13,73867383;9,944946257;;2003;GVA_05_2021
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;17,21922389;7,481045318;9,738178574;;2004;GVA_05_2021
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;17,12773183;7,498500117;9,629231709;;2005;GVA_05_2021
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;16,84924218;7,419022741;9,43021944;;2006;GVA_05_2021
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;16,4;7,4;8,9;;2007;GVA_05_2021
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;14,1;6;8;;2008;GVA_05_2021
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;16;6,6;9,4;;2009;GVA_05_2021
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;11,1;5,6;5,5;;2010;GVA_05_2021
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;11,3;6,6;4,7;;2011;GVA_05_2021
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;14,3;4,8;9,5;;2011_2;GVA_05_2021
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;14,6;4,8;9,9;;2012;GVA_05_2021
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;14;4,4;9,6;;2013;GVA_05_2021
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;13,6;4,4;9,2;;2014;GVA_05_2021
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;13;4,2;8,8;;2015;GVA_05_2021
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;13,08;4,44;8,65;;2016;GVA_05_2021
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;13,1;4,5;8,7;13,1;2016;NAs_08_2024
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;12,6;4,3;8,3;12,6;2017;NAs_08_2024
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;11,7;4;7,7;11,7;2018;NAs_08_2024
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;11,5;3,8;7,7;11,5;2019;NAs_08_2024
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;11,7;3,6;8,1;11,7;2020;NAs_08_2024
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;10,4;2,4;7,9;10,4;2021;NAs_08_2024
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;11,4;2,7;8,6;11,4;2022;NAs_08_2024
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;12,6;4,3;8,3;12,6;2017;NAs_08_2022
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;11,7;4;7,7;11,7;2018;NAs_08_2022
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;11,5;3,8;7,7;11,5;2019;NAs_08_2022
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;12;3,9;8,1;12;2020;NAs_08_2022
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;12,6;4,3;8,3;12,6;2017;NAs_07_2020
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;11,6;4;7,6;11,6;2018;NAs_07_2020
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;14,6;4,9;9,8;;2011;NAs_08_2018
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;14,8;5,1;9,7;;2012;NAs_08_2018
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;14,3;4,7;9,6;;2013;NAs_08_2018
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;13,9;4,6;9,3;;2014;NAs_08_2018
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;13,3;4,4;8,9;;2015;NAs_08_2018
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;13,6;4,6;9;;2016;NAs_08_2018
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;14,7;4,9;9,8;;2011;NAs_09_2016
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;14,9;5;9,9;;2012;NAs_09_2016
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;14,7;4,8;9,9;;2013;NAs_09_2016
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;14,4;4,7;9,7;;2014;NAs_09_2016
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;14,4;4,7;9,7;14,4;2014;cisstat_2017_no_551
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;13,3;4,4;8,9;13,3;2015;cisstat_2018_no_554
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;13,6;4,6;9;13,6;2016;cisstat_2018_no_554
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;13,2;4,6;8,6;13,2;2016;cisstat_2019_no_557
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;12,7;4,4;8,3;12,7;2017;cisstat_2019_no_557
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;12,6;4,3;8,3;12,6;2017;cisstat_2020_no_560
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;11,6;4;7,6;11,6;2018;cisstat_2020_no_560
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;11,7;4;7,7;11,7;2018;cisstat_2021_no_563
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;11,6;3,9;7,7;11,6;2019;cisstat_2021_no_563
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;11,5;3,8;7,7;11,5;2019;cisstat_2022_no_566
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;12;3,9;8,1;12;2020;cisstat_2022_no_566
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;11,7;3,6;8,1;11,7;2020;cisstat_2023_no_569
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;10,8;2,8;8;10,8;2021;cisstat_2023_no_569
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;10,4;2,4;8;10,4;2021;cisstat_2024_no_572
Валовой внутренний продукт в рыночных ценах;Валовой внутренний продукт в рыночных ценах;11,4;3,1;8,3;11,4;2022;cisstat_2024_no_572
Итого валовая добавленная стоимость в основных ценах;Итого валовая добавленная стоимость в основных ценах;27,9;14,6;13,2;24,7;2002;NA_2010
Итого валовая добавленная стоимость в основных ценах;Итого валовая добавленная стоимость в основных ценах;27,7;14,4;13,3;24,9;2002;NA_2009
Итого валовая добавленная стоимость в основных ценах;Итого валовая добавленная стоимость в основных ценах;26,9;15,6;11,3;23,7;2003;NA_2011
Итого валовая добавленная стоимость в основных ценах;Итого валовая добавленная стоимость в основных ценах;26,9;15,6;11,3;23,7;2003;NA_2010
Итого валовая добавленная стоимость в основных ценах;Итого валовая добавленная стоимость в основных ценах;26,8;15,3;11,5;24;2003;NA_2009
Итого валовая добавленная стоимость в основных ценах;Итого валовая добавленная стоимость в основных ценах;19,7;8,6;11,2;17,2;2004;NA_2012
Итого валовая добавленная стоимость в основных ценах;Итого валовая добавленная стоимость в основных ценах;19,7;8,6;11,2;17,2;2004;NA_2011
Итого валовая добавленная стоимость в основных ценах;Итого валовая добавленная стоимость в основных ценах;19,8;8,6;11,2;17,2;2004;NA_2010
Итого валовая добавленная стоимость в основных ценах;Итого валовая добавленная стоимость в основных ценах;21,6;10,2;11,4;19,3;2004;NA_2009
Итого валовая добавленная стоимость в основных ценах;Итого валовая добавленная стоимость в основных ценах;20;8,8;11,2;17,1;2005;NA_2013
Итого валовая добавленная стоимость в основных ценах;Итого валовая добавленная стоимость в основных ценах;20;8,8;11,2;17,1;2005;NA_2012
Итого валовая добавленная стоимость в основных ценах;Итого валовая добавленная стоимость в основных ценах;20;8,8;11,2;17,1;2005;NA_2011
Итого валовая добавленная стоимость в основных ценах;Итого валовая добавленная стоимость в основных ценах;20;8,8;11,2;17,1;2005;NA_2010
Итого валовая добавленная стоимость в основных ценах;Итого валовая добавленная стоимость в основных ценах;19,9;8,5;11,4;17,4;2005;NA_2009
Итого валовая добавленная стоимость в основных ценах;Итого валовая добавленная стоимость в основных ценах;19,7;8,7;11;16,8;2006;NA_2014
Итого валовая добавленная стоимость в основных ценах;Итого валовая добавленная стоимость в основных ценах;19,7;8,7;11;16,8;2006;NA_2013
Итого валовая добавленная стоимость в основных ценах;Итого валовая добавленная стоимость в основных ценах;19,7;8,7;11;16,8;2006;NA_2012
Итого валовая добавленная стоимость в основных ценах;Итого валовая добавленная стоимость в основных ценах;19,7;8,7;11;16,8;2006;NA_2011
Итого валовая добавленная стоимость в основных ценах;Итого валовая добавленная стоимость в основных ценах;19,7;8,7;11;16,8;2006;NA_2010
Итого валовая добавленная стоимость в основных ценах;Итого валовая добавленная стоимость в основных ценах;19,9;8,5;11,4;17,4;2006;NA_2009
Итого валовая добавленная стоимость в основных ценах;Итого валовая добавленная стоимость в основных ценах;19,1;8,7;10,4;16,4;2007;NA_2015
Итого валовая добавленная стоимость в основных ценах;Итого валовая добавленная стоимость в основных ценах;19,1;8,7;10,4;16,4;2007;NA_2014
Итого валовая добавленная стоимость в основных ценах;Итого валовая добавленная стоимость в основных ценах;19,1;8,7;10,4;16,4;2007;NA_2013
Итого валовая добавленная стоимость в основных ценах;Итого валовая добавленная стоимость в основных ценах;19,1;8,7;10,4;16,4;2007;NA_2012
Итого валовая добавленная стоимость в основных ценах;Итого валовая добавленная стоимость в основных ценах;19,1;8,7;10,4;16,4;2007;NA_2011
Итого валовая добавленная стоимость в основных ценах;Итого валовая добавленная стоимость в основных ценах;19,1;8,7;10,4;16,4;2007;NA_2010
Итого валовая добавленная стоимость в основных ценах;Итого валовая добавленная стоимость в основных ценах;19,2;8,5;10,7;17;2007;NA_2009
Итого валовая добавленная стоимость в основных ценах;Итого валовая добавленная стоимость в основных ценах;16,5;7,1;9,4;14,1;2008;NA_2015
Итого валовая добавленная стоимость в основных ценах;Итого валовая добавленная стоимость в основных ценах;16,5;7,1;9,4;14,1;2008;NA_2014
Итого валовая добавленная стоимость в основных ценах;Итого валовая добавленная стоимость в основных ценах;16,5;7,1;9,4;14,1;2008;NA_2013
Итого валовая добавленная стоимость в основных ценах;Итого валовая добавленная стоимость в основных ценах;16,5;7,1;9,4;14,1;2008;NA_2012
Итого валовая добавленная стоимость в основных ценах;Итого валовая добавленная стоимость в основных ценах;16,5;7,1;16,5;14,1;2008;NA_2011
Итого валовая добавленная стоимость в основных ценах;Итого валовая добавленная стоимость в основных ценах;16,9;6,9;10;14,4;2008;NA_2010
Итого валовая добавленная стоимость в основных ценах;Итого валовая добавленная стоимость в основных ценах;18,4;7,6;10,8;16;2009;NA_2015
Итого валовая добавленная стоимость в основных ценах;Итого валовая добавленная стоимость в основных ценах;18,4;7,6;10,8;16;2009;NA_2014
Итого валовая добавленная стоимость в основных ценах;Итого валовая добавленная стоимость в основных ценах;18,4;7,6;10,8;16;2009;NA_2013
Итого валовая добавленная стоимость в основных ценах;Итого валовая добавленная стоимость в основных ценах;18,4;7,6;10,8;16;2009;NA_2012
Итого валовая добавленная стоимость в основных ценах;Итого валовая добавленная стоимость в основных ценах;18,4;7,5;10,9;16,1;2009;NA_2011
Итого валовая добавленная стоимость в основных ценах;Итого валовая добавленная стоимость в основных ценах;12,9;6,5;6,4;11,1;2010;NA_2015
Итого валовая добавленная стоимость в основных ценах;Итого валовая добавленная стоимость в основных ценах;12,9;6,5;6,4;11,1;2010;NA_2014
Итого валовая добавленная стоимость в основных ценах;Итого валовая добавленная стоимость в основных ценах;12,9;6,5;6,4;11,1;2010;NA_2013
Итого валовая добавленная стоимость в основных ценах;Итого валовая добавленная стоимость в основных ценах;18;7,5;10,5;15,5;2010;NA_2012
Итого валовая добавленная стоимость в основных ценах;Итого валовая добавленная стоимость в основных ценах;16,8;5,6;11,2;14,6;2011;NA_2017
Итого валовая добавленная стоимость в основных ценах;Итого валовая добавленная стоимость в основных ценах;13,2;7,7;5,5;11,3;2011;NA_2015
